,celltype_final,celltype_final_short,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940556786663,F-mini-OFF,FmOff,711.032,629.169,-13.6138,711.456,627.776,24.8
720575940553070349,F-mini-ON,FmOn,653.022,563.976,-13.7311,652.224,562.304,19.72
720575940557925925,HD1,HD1,688.35,636.012,-15.2132,685.872,634.784,20.84
720575940581436798,HD2,HD2,642.497,569.532,-16.4066,641.296,565.36,17.12
720575940551916659,Local edge detector,LED,584.128,555.46,-12.488,582.336,552.064,21.52
720575940562833781,M1,M1,612.122,655.513,-15.6548,613.6,653.296,22.52
720575940568512543,M2,M2,630.782,463.989,-18.5177,629.68,456.896,17.28
720575940545425907,M6,M6,747.672,450.626,-15.0238,747.376,448.544,29.64
720575940572349543,OFF medium sustained,sOff-m,828.608,384.101,-13.7105,829.264,380.16,33.4
720575940554857446,OFF sustained alpha,sOff-a,589.892,509.664,-15.403,588.464,508.016,11.88
720575940559143627,OFF transient alpha,tOff-a,728.191,578.381,-12.2721,724.512,575.936,26.44
720575940562516341,OFF transient medium RF,tOff-m,663.858,624.936,-13.7337,662.144,623.232,18.72
720575940563133659,OFF transient small RF,tOff-s,681.323,555.91,-12.4452,682.128,553.44,20.04
720575940578014418,OFF vertical OS - asymmetric,vOffOS,662.192,588.836,-13.6911,661.04,586.368,18.84
720575940546090892,ON DS sustained - direction unknown,sOnDS,656.841,581.868,-14.9272,656.848,573.36,19.04
720575940573419265,ON OS small RF - orientation unknown,OnOS-s,809.953,504.511,-15.0672,809.936,504.944,22.88
720575940567009897,ON alpha,sOn-a,764.38,542.241,-15.2194,762.544,543.488,22.72
720575940577845292,ON small OFF large,On-s-Off-l,677.384,635.39,-13.2131,673.728,632.16,22.32
720575940556072754,ON transient medium RF,tOn-m,735.079,603.937,-13.916,734.272,603.6,22.8
720575940577092100,ON transient small RF,tOn-s,740.3,583.595,-15.5557,737.232,578.16,19.68
720575940554583314,ON vertical OS small RF,vOnOS-s,727.058,646.671,-12.5849,724.576,644.816,26.16
720575940559162723,ON-OFF DS - direction unknown,OODS,677.544,603.077,-12.8709,672.704,599.712,21.36
720575940555336675,PixON,M5,751.661,544.517,-13.6347,750.048,543.76,22.48
720575940546105228,UHD,UHD,705.043,642.372,-14.1314,705.2,638.0,23.2
